#node,stdev,outlier_subtype,outlier_distance
1,0.3607890751223388,T-ALL,-2.1879843037532614
2,0.5562226391694552,Hyperdiploid,1.7708959158347246
3,0.12258295709719944,Ph,1.745514534811472
4,0.12258295709719944,Ph,1.745514534811472
5,1.1281820683311352,MLL,1.9626730136523396
6,2.221067035959269,Hypo,2.129625673945698
7,2.231197438285936,Hyperdiploid,1.736500569985329
8,0.667053360645954,Ph,2.2746216262679484
9,1.6539479120374214,Hyperdiploid,1.985629319257765
10,0.4904165387141915,Hypo,2.1105269737579953
11,0.7956189175777763,T-ALL,-1.6033561694129739
12,0.27185550623762245,MLL,2.3202528016800774
13,0.24951494317542738,Hypo,2.0056353885312426
14,0.2685515597206767,Hypo,1.9097375585285525
15,0.16669748960819253,TCF3-PBX1,-1.5829352556750507
16,0.10717388914283182,TCF3-PBX1,-2.26160963214623
17,0.15782557839809702,Hypo,1.8351334615067185
18,0.4261851408301423,Hypo,2.6872069364875157
19,0.19118356068406284,Hypo,2.469273499828445
20,0.02348806153894234,T-ALL,-2.0928717305384543
21,0.02348806153894234,T-ALL,-2.0928717305384543
22,0.07972365003189516,Hypo,1.7692240626661009
23,1.2040902904170778,T-ALL,1.7344450688521607
24,1.0126998106040306,Hypo,-1.8146517168833034
25,0.1990522098881269,Hypo,1.9804552796553212
26,0.9674415165294572,Hypo,1.9693638331421783
27,0.4335999592579429,MLL,1.886382019192229
28,0.10303869692340577,Hypo,2.0071197149720716
29,0.06267654972433395,Ph,-1.9099860132673476
30,0.03592059987567821,ETV6_RUNX1,1.8754697926304633
31,0.15063198820385032,Hypo,2.6792892497740426
32,0.4335999592579429,MLL,1.886382019192229
33,0.578549188572588,Ph,-1.9227270362459425
34,0.14008864065283505,Ph,-2.604721065411728
35,0.046309547329214044,Ph,-1.8710396667025806
36,0.15063198820385032,Hypo,2.6792892497740426
37,1.5733477059210548,Hypo,-1.8327739245525398
38,0.36958612048874123,Hypo,2.3126161561561416
39,0.26369781104158313,ETV6_RUNX1,-1.7116954120720993
40,0.07392716594136726,Hypo,2.4956252231598537
41,0.15063198820385032,Hypo,2.6792892497740426
42,0.11111292935659658,Hypo,2.270181350277069
43,0.5454494228579972,Hypo,1.7726403698448603
44,0.6613413206924736,Hypo,1.7390576252855559
45,0.04326489293047788,TCF3-PBX1,1.9777698314774228
46,0.04326489293047788,TCF3-PBX1,1.9777698314774228
47,0.04326489293047788,TCF3-PBX1,1.9777698314774228
48,0.09174193238934207,Ph,-2.199343252807267
49,0.09174193238934207,Ph,-2.199343252807267
50,0.025654417923227264,TCF3-PBX1,-1.6448239101069628
51,0.025654417923227264,TCF3-PBX1,-1.6448239101069628
52,0.02348806153894234,T-ALL,-2.0928717305384543
53,0.46941325112218774,T-ALL,-2.215862386032035
54,0.38931805853364715,Hypo,1.7995586161747912
55,0.46941325112218774,T-ALL,-2.215862386032035
56,0.7956189175777763,T-ALL,-1.6033561694129739
57,0.7956189175777763,T-ALL,-1.6033561694129739
58,0.08838608858980061,Ph,-2.0437209393701417
59,0.08814832316763212,Ph,-2.0466507682766575
60,0.08838608858980061,Ph,-2.0437209393701417
61,0.059205574097756196,T-ALL,-2.4643625574695567
62,0.059205574097756196,T-ALL,-2.4643625574695567
63,0.11940908139053165,MLL,2.377509008198246
64,0.14668182978133318,Hypo,1.7546310976872834
65,0.29628098093091926,MLL,-2.307134254288765
66,0.2697640534666832,Hypo,-2.3825085603780956
